Poshmark Inventory Report for @jenwm5
Inventory as of 05/19/2020
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info
08/14/2019,279,"",Athleta bright yellow green & grey tank/ L,Women,Tops,Tank Tops,Athleta,"Gray, Green",L,N,1,"",$7.00,$12.00,""
08/14/2019,279,"",Melly M halter golf dress/ 8,Women,Dresses,"",Melly M,"Pink, Green",8,N,8,"",$15.00,$30.00,""
08/18/2019,275,"",Nannette Lepore Charcoal ruffled waistcoat/ 4,Women,Jackets & Coats,Blazers,Nanette Lepore,"Gray, Blue",4,N,8,"",$28.00,$44.00,""
08/18/2019,275,"",Birdcage linen skirt with vintage telephones/0,Women,Skirts,Mini,Snoozer Loser,"Blue, Gold",0,N,4,"",$10.00,$15.00,""
08/18/2019,275,"",Banana republic black shorts/ 0,Women,Shorts,"",Banana Republic,Black,0,N,0,"",$13.00,$15.00,""
08/18/2019,275,"",Pair of Anna Hütte lead crystal candle holders,Home,Accents,Candles & Holders,Anna Hutte,"",OS,N,1,"",$14.00,$14.00,""
08/18/2019,275,"",New balance lightningdry pink striped tank/ S,Women,Tops,Tank Tops,New Balance,Pink,S,N,2,"",$9.00,$15.00,""
08/18/2019,275,"",Jack Rogers Cheney silver sandal/ 7,Women,Shoes,Sandals,Jack Rogers,Silver,7,N,12,"",$22.00,$39.00,""
08/18/2019,275,"",REI black hiking shorts/ 6,Women,Shorts,"",REI,Black,6,N,10,"",$13.00,$25.00,""
08/23/2019,270,"",OTBT Black leather wrap gladiator sandals/ 9,Women,Shoes,Sandals,OTBT,Black,9,N,22,"",$17.00,$35.00,""
08/24/2019,269,"",Pepe Jeans (UK) blue short sleeve button top/ 3XL,Men,Shirts,"",Pepe Jeans,Blue,3XL,N,3,"",$15.00,$18.00,""
08/24/2019,269,"",Vineyard Vines floral shorts/ 4,Women,Shorts,"",Vineyard Vines,"",4,N,5,"",$11.00,$25.00,""
08/24/2019,269,"",Royal Robbins army green lined pants/ 6,Women,Pants,"",Royal Robbins,"",6,N,4,"",$12.00,$25.00,""
08/24/2019,269,"",Columbia Kestrel Ridge plaid short sleeve/ S,Women,Tops,"",Columbia,"Yellow, Gray",S,Y,1,"",$15.00,$23.00,""
08/24/2019,269,"",Anthro Maeve CoralShine eyelet dress/ 6,Women,Dresses,"",Anthropologie,Orange,6,N,5,"",$14.00,$35.00,""
08/24/2019,269,"",BCBGMaxAzria Black cream strapless OR halter dress,Women,Dresses,Strapless,BCBGMaxAzria,"Black, Cream",0,N,0,"",$18.00,$18.00,""
08/24/2019,269,"",Nicole Miller Studio strapless silk dress/2,Women,Dresses,Strapless,Nicole Miller,"Orange, Tan",2,N,7,"",$14.00,$35.00,""
08/24/2019,269,"",Antonio Melani GABY white blouse/ XS,Women,Tops,Blouses,ANTONIO MELANI,White,XS,Y,7,"",$9.00,$25.00,""
08/25/2019,268,"",Andrew Marc quilted gray vest w/ black ribbed trim,Women,Jackets & Coats,Vests,Andrew Marc,"Gray, Black",S,N,4,"",$10.00,$18.00,""
08/25/2019,268,"",Lucy heathered Gray long sleeve wrap top/ S,Women,Tops,Tees - Long Sleeve,Lucy,Gray,S,N,5,"",$11.00,$20.00,""
08/25/2019,268,"",Cocogió wool blend sweater/ S,Women,Sweaters,"",Cocogió,Gray,S,N,5,"",$12.00,$25.00,""
08/28/2019,265,"",Fitflops- Black suede/7,Women,Shoes,Sandals,Fitflop,Black,7,N,5,"",$11.00,$11.00,""
08/31/2019,262,"",Goebel today’s children 1978 junior gardener,Home,Other,"",Goebel,"",OS,N,2,"",$10.00,$10.00,""
08/31/2019,262,"",Spring Step Surina Closed Toe Slingback black/ 8.5,Women,Shoes,"",Spring Step,Black,8.5,N,5,"",$16.00,$26.00,""
09/02/2019,260,"",Lenox shooting star crystal bowl,Home,Dining,"",Lenox,"",12.25x6”,N,10,"",$17.00,$28.00,""
09/03/2019,259,"",Emilio Franco Italian tan box toe oxford/ 12,Men,Shoes,Oxfords & Derbys,Emilio Franco,"Tan, Cream",12,N,3,"",$16.00,$16.00,""
09/03/2019,259,"",Timberland black comforia clogs/ 8.5,Women,Shoes,Mules & Clogs,Timberland,Black,8.5,N,5,"",$14.00,$14.00,""
09/03/2019,259,"",Jambu quest water shoe/ navy/ 6,Women,Shoes,Sneakers,Jambu,Blue,6,N,8,"",$14.00,$23.00,""
09/05/2019,257,"",Mephisto Mobils tan suede clog/8 (38),Women,Shoes,Mules & Clogs,Mephisto,Tan,8,N,4,"",$13.00,$13.00,""
09/05/2019,257,"",Mephisto Black clog/ 8,Women,Shoes,Mules & Clogs,Mephisto,Black,8,N,8,"",$12.00,$12.00,""
09/05/2019,257,"",Guja Italian gold heels/ 9 (39),Women,Shoes,Heels,Guja Milano,Gold,9,N,0,"",$21.00,$21.00,""
09/05/2019,257,"",Lilly Pulitzer pink colony buttercup shorts 000,Women,Shorts,"",Lilly Pulitzer,"Pink, Green",000,N,3,"",$22.00,$27.00,""
09/06/2019,256,"",Toms black canvas wedge sandals/8,Women,Shoes,Wedges,Toms,"Black, Tan",8,N,19,"",$16.00,$25.00,""
09/06/2019,256,"",Knicker Bocker doughnut ss t/ L,Men,Shirts,Tees - Short Sleeve,knicker bocker,Gray,L,N,1,"",$12.00,$12.00,""
09/06/2019,256,"",Anthro Baraschi Tasman bay brown top/ S,Women,Tops,"",Anthropologie,Brown,S,N,0,"",$21.00,$21.00,""
09/06/2019,256,"",Laundry by shelli segal black sleeveless dress/4,Women,Dresses,"",Laundry By Shelli Segal,Black,4,N,6,"",$14.00,$14.00,""
09/06/2019,256,"",Lilly Pulitzer capris/ 4,Women,Pants,Capris,Lilly Pulitzer,"Pink, Green",4,N,1,"",$13.00,$19.00,""
09/07/2019,255,"",Vineyard vines pink long sleeve/ XS,Women,Tops,Tees - Long Sleeve,Vineyard Vines,Pink,XS,N,5,"",$11.00,$17.00,""
09/08/2019,254,"",Adrianna Papell navy sleeveless tank dress/4,Women,Dresses,Midi,Adrianna Papell,Blue,4,N,4,"",$16.00,$20.00,""
09/08/2019,254,"",Nic+Zoe olive green tank maxi dress/ S,Women,Dresses,Maxi,NIC+ZOE,Green,S,N,3,"",$14.00,$25.00,""
09/08/2019,254,"","Iris Setlakwe army green, black long sleeve/ S",Women,Tops,"",Iris Setlakwe,"Green, Black",S,N,3,"",$12.00,$12.00,""
09/08/2019,254,"",Free People blue Canyon Rose Embroidered Blouse/ S,Women,Tops,Blouses,Free People,Blue,S,N,7,"",$12.00,$20.00,""
09/08/2019,254,"",AnyBody heathered maroon LOVE hooded LS T/ S,Men,Shirts,Tees - Long Sleeve,AnyBody,Purple,S,N,1,"",$14.00,$23.00,""
09/08/2019,254,"",The north face horizon II tan adventure pants/ 2,Women,Pants,Straight Leg,The North Face,Tan,2,N,6,"",$21.00,$25.00,""
09/08/2019,254,"",The North Face Horizon II Gray adventure pants/2,Women,Pants,Straight Leg,The North Face,Gray,2,N,11,"",$12.00,$25.00,""
09/08/2019,254,"",Tobi light blue/ white back lace up dress/ XS,Women,Dresses,Mini,Tobi,"Blue, White",XS,N,7,"",$14.00,$21.00,""
09/08/2019,254,"",Hurley Black & Gray board shorts/ 30,Men,Swim,Board Shorts,Hurley,"Black, Gray",30,N,4,"",$12.00,$18.00,""
09/08/2019,254,"",Nike turquoise featherlight visor,Women,Accessories,Hats,Nike,Blue,OS,N,28,"",$9.00,$14.00,""
09/08/2019,254,"",WORTH zip front white turtleneck/ S,Women,Tops,"",Worth,White,S,N,2,"",$9.00,$9.00,""
09/10/2019,252,"",J. Crew blue cream stripe drop waist dress/ 0,Women,Dresses,Mini,J. Crew,"Blue, Cream",0,N,6,"",$12.00,$14.00,""
09/10/2019,252,"",Hurley heathered gray short sleeve polo/ S,Men,Shirts,Polos,Hurley,Gray,S,N,8,"",$10.00,$21.00,""
09/10/2019,252,"",Laundry Shelli Segal Black Gray drop waist dress/2,Women,Dresses,Mini,Laundry By Shelli Segal,"Black, Gray",2,N,4,"",$17.00,$17.00,""
09/10/2019,252,"",Anthropologie Parameter chevron drop waist dress/S,Women,Dresses,Mini,Anthropologie,"Brown, Green",S,N,1,"",$14.00,$14.00,""
09/10/2019,252,"",Lilly Pulitzer Franco strapless All Dahled Up/0,Women,Dresses,Strapless,Lilly Pulitzer,"Blue, Pink",0,N,5,"",$39.00,$45.00,""
09/10/2019,252,"",Sequin hearts navy formal gown/ 1,Women,Dresses,Prom,Sequin Hearts,Blue,1J,Y,6,"",$36.00,$50.00,""
09/10/2019,252,"",Cache coral strapless formal dress/ 0,Women,Dresses,Prom,Cache,"Orange, Pink",0,N,0,"",$58.00,$58.00,""
09/10/2019,252,"",Vineyard vines orange club shorts/ 28,Men,Shorts,Flat Front,Vineyard Vines,Orange,28,N,2,"",$14.00,$25.00,""
09/10/2019,252,"",The north face adventure shorts/ olive/S,Men,Shorts,Cargo,The North Face,"Brown, Green",S,N,8,"",$10.00,$16.00,""
09/10/2019,252,"",Vera Mont sage gray ruched dress/ 6,Women,Dresses,Midi,Vera Mont,"Gray, Green",6,N,3,"",$17.00,$17.00,""
09/10/2019,252,"",SCALA red silk black beads vintage jacket/S,Women,Jackets & Coats,Blazers,Scala,"Red, Black",S,N,4,"",$11.00,$25.00,""
09/10/2019,252,"",Horny toad brown pants/ 14,Women,Pants,Straight Leg,Horny Toad,Brown,14,N,4,"",$12.00,$17.00,""
09/11/2019,251,"",Miss Elliette vintage orange dress/ 2,Women,Dresses,Midi,Miss Elliette,Orange,2,Y,11,"",$35.00,$75.00,""
09/11/2019,251,"",Trina Turk brown & white silk dress/ 2,Women,Dresses,"",Trina Turk,"Brown, White",2,N,4,"",$19.00,$25.00,""
09/11/2019,251,"",Chico’s embroidered black cardigan/ S,Women,Sweaters,Cardigans,Chico's,Black,S,N,0,"",$16.00,$19.00,""
09/11/2019,251,"",Peanuts Snoopy blue striped short sleeve t/ M,Men,Shirts,Tees - Short Sleeve,Peanuts,"Blue, White",M,Y,2,"",$13.00,$25.00,""
09/11/2019,251,"",Vera Bradley floral small crossbody,Women,Bags,Crossbody Bags,Vera Bradley,"",OS,N,2,"",$14.00,$14.00,""
09/12/2019,250,"",Adam by Adam Lippes denim dress/ 8,Women,Dresses,"",Adam by Adam Lippes,Blue,8,N,7,"",$19.00,$19.00,""
09/12/2019,250,"",Lilly Pulitzer shorts navy & white tusk in sun/0,Women,Shorts,"",Lilly Pulitzer,"Blue, White",0,N,8,"",$18.00,$27.00,""
09/13/2019,249,"",Milly of New York animal pattern minidress/0,Women,Dresses,Strapless,Milly of New York,Brown,0,N,4,"",$18.00,$18.00,""
09/13/2019,249,"","3 hand etched EISCH stemware (2 small, 1 large)",Home,Dining,Drinkware,Eisch Glaskultur,"",OS,N,1,"",$22.00,$22.00,""
09/13/2019,249,"",Faviana Couture backless jeweled waist dress/2,Women,Dresses,"",Faviana,Pink,2,N,0,"",$15.00,$15.00,""
09/13/2019,249,"","Lilly Pulitzer Mila shift, coral reef, 0",Women,Dresses,Mini,Lilly Pulitzer,"Pink, White",0,N,19,"",$51.00,$75.00,""
09/14/2019,248,"",Vineyard vines whale tail performance tank/ XS,Women,Tops,Tank Tops,Vineyard Vines,"Pink, White",XS,N,3,"",$18.00,$26.00,""
09/14/2019,248,"",Merona dark brown canvas boat shoes/ 8.5,Men,Shoes,Boat Shoes,Merona,Brown,8.5,N,0,"",$10.00,$10.00,""
09/14/2019,248,"",Dick & Jayne polka dot retro dress/ S,Women,Dresses,Midi,Dick & Jayne los angeles,"Green, Brown",S,N,0,"",$16.00,$16.00,""
09/18/2019,244,"",Converse white low tops/ W7M5,Women,Shoes,Sneakers,Converse,White,7,N,13,"",$15.00,$26.00,""
09/19/2019,243,"",Vineyard vines mint & white checked button down/0,Women,Tops,Button Down Shirts,Vineyard Vines,"Green, White",0,N,5,"",$15.00,$15.00,""
09/20/2019,242,"",World wide sportsman blue board shorts/36,Men,Swim,Board Shorts,world wide sportsman,Blue,36,N,2,"",$16.00,$16.00,""
09/23/2019,239,"",Cache strapless black gray mini dress/ 4,Women,Dresses,Strapless,Cache,"Black, Gray",4,N,4,"",$24.00,$24.00,""
09/25/2019,237,"",RARE Vintage Perma-prest short sleeve top/ 15.5,Men,Shirts,Casual Button Down Shirts,Perma-prest,Green,15.5,N,1,"",$18.00,$18.00,""
09/25/2019,237,"",Free people coral Daisy Godet dress/ m,Women,Dresses,Mini,Free People,Orange,M,N,2,"",$18.00,$18.00,""
09/25/2019,237,"",Mud pie finnegan off shoulder dress/stonewash /L,Women,Dresses,Mini,Mud Pie,"Blue, Gray",L,N,9,"",$14.00,$24.00,""
09/25/2019,237,"",Lou & grey striped Moto zip up/ xs,Women,Tops,Sweatshirts & Hoodies,Lou & Grey,"Gray, Cream",XS,N,2,"",$12.00,$12.00,""
09/25/2019,237,"",Anthro postage stamp sequin hooded zip up/ S,Women,Tops,Sweatshirts & Hoodies,Anthropologie,Blue,S,N,4,"",$28.00,$35.00,""
09/25/2019,237,"",THEORY gray cropped sleeve cardigan/ M,Women,Sweaters,Cardigans,Theory,Gray,M,N,4,"",$12.00,$12.00,""
09/25/2019,237,"",Sam Edelman pink hoodie w sequin band on arm/ Sm,Women,Tops,Sweatshirts & Hoodies,Sam Edelman,Pink,S,N,0,"",$15.00,$15.00,""
09/27/2019,235,"",Madewell short sleeve top w line drawn boats/ XS,Women,Tops,Tees - Short Sleeve,Madewell,"White, Black",XS,N,5,"",$10.00,$10.00,""
09/28/2019,234,"",Lululemon Puri Tee Short Sleeve white/ 4,Women,Tops,Tees - Short Sleeve,lululemon athletica,White,4,N,15,"",$16.00,$24.00,""
09/29/2019,233,"",Brass boot brown loafers/ 10,Men,Shoes,Loafers & Slip-Ons,brass boot,Brown,10,N,1,"",$23.00,$23.00,""
09/30/2019,232,"",Tyler Boe navy & white checked pants/2,Women,Pants,Ankle & Cropped,Tyler Boe,"Blue, White",2,N,1,"",$15.00,$15.00,""
10/01/2019,231,"",Stuart Weitzman black slide wedge sandals/ 6,Women,Shoes,Wedges,Stuart Weitzman,Black,6,N,8,"",$22.00,$30.00,""
10/03/2019,229,"",Isis plum vest/ 6,Women,Jackets & Coats,Vests,Isis,Purple,6,N,2,"",$15.00,$16.00,""
10/03/2019,229,"",SkirtSports White hourglass ss shirt/ M,Women,Tops,Tees - Short Sleeve,SkirtSports,White,M,N,5,"",$14.00,$14.00,""
10/04/2019,228,"",Alberto Makali multi/ leopard print tank/ s,Women,Tops,Tank Tops,Alberto Makali,"Orange, Cream",S,N,1,"",$18.00,$18.00,""
10/04/2019,228,"",Life is good “LOVE” black full zip hoodie/ XS,Women,Tops,Sweatshirts & Hoodies,Life Is Good,Black,XS,N,0,"",$21.00,$21.00,""
10/04/2019,228,"",Athleta Chocolate whatever skort/ 8p,Women,Shorts,Skorts,Athleta,Brown,8P,N,4,"",$21.00,$21.00,""
10/06/2019,226,"",Acorn tan white 3/4 sleeve cardigan/ S,Women,Sweaters,Cardigans,Acorn,"Tan, White",S,N,0,"",$16.00,$16.00,""
10/06/2019,226,"",Anthro TINY olive open cocoon cardigan/ S,Women,Tops,"",Anthropologie,Green,S,N,5,"",$13.00,$23.00,""
10/08/2019,224,"",Patagonia kamala striped convertible skirt/dress/S,Women,Dresses,"",Patagonia,"Red, Blue",S,N,5,"",$16.00,$16.00,""
10/08/2019,224,"",Lulus blue white lace up striped crop top/XS,Women,Tops,Crop Tops,Lulu's,"Blue, White",XS,N,22,"",$19.00,$27.00,""
10/09/2019,223,"",Texture &Thread Smocked Peplum stripe Tank Top XXS,Women,Tops,Tank Tops,Madewell,"Blue, White",XXS,N,8,"",$13.00,$21.00,""
10/09/2019,223,"",Anthro meadow rue EULA LACE white poncho sweater/S,Women,Sweaters,Shrugs & Ponchos,Anthropologie,White,S,N,10,"",$15.00,$21.00,""
10/09/2019,223,"",Boden navy & white stripe 3/4 sleeve sweater/S,Women,Sweaters,Crew & Scoop Necks,Boden,"Blue, White",S,N,18,"",$12.00,$17.00,""
10/11/2019,221,"",Billabong platinum X green striped board shorts/36,Men,Swim,Board Shorts,Billabong,"Green, Gray",36,N,6,"",$20.00,$25.00,""
10/11/2019,221,"",Rachel Zoe geometric tie neck blouse/ S,Women,Tops,Blouses,Rachel Zoe,"Blue, Pink",S,N,8,"",$15.00,$30.00,""
10/11/2019,221,"",Lilly Pulitzer Chandie strapless dress/ XS,Women,Dresses,Mini,Lilly Pulitzer,"Pink, Blue",XS,N,1,"",$32.00,$45.00,""
10/11/2019,221,"",Rocks & indigo short sleeve embroidered top/ S,Women,Tops,"",Rocks & Indigo,"White, Gray",S,N,3,"",$18.00,$26.00,""
10/13/2019,219,"",Sporto classic vintage low blue boots/ 9,Women,Shoes,Winter & Rain Boots,Sporto,"Blue, Green",9,N,0,"",$20.00,$20.00,""
10/13/2019,219,"",Stuart Weitzman black purse w silver hardware,Women,Bags,Shoulder Bags,Stuart Weitzman,"Black, Silver",OS,N,10,"",$18.00,$30.00,""
10/13/2019,219,"",Novara green shorts/ small,Men,Shorts,Athletic,Novara,"Green, Black",S,N,2,"",$20.00,$20.00,""
10/13/2019,219,"",Lilly Pulitzer Chandie strapless dress/ XS,Women,Dresses,Strapless,Lilly Pulitzer,"Blue, Green",XS,N,7,"",$24.00,$45.00,""
10/13/2019,219,"",Title Nine regulator dress teal w green stripe/ S,Women,Dresses,Mini,Title nine,"Blue, Green",S,N,5,"",$16.00,$22.00,""
10/13/2019,219,"",Boden navy striped linen shift dress/ 6,Women,Dresses,"",Boden,Blue,6,N,18,"",$19.00,$26.00,""
10/14/2019,218,"",JCrew tunic blue white/ 2,Women,Tops,Tunics,J. Crew,"Blue, White",2,N,3,"",$14.00,$14.00,""
10/14/2019,218,"",Timberland smart red sandal /8,Women,Shoes,Sandals,Timberland,Red,8,N,3,"",$18.00,$23.00,""
10/14/2019,218,"",Rangoni Amalfi Italian black heel sandals/ 6.5,Women,Shoes,Heels,Rangoni,Black,6.5,N,0,"",$12.00,$12.00,""
10/14/2019,218,"",Naot Naomi green sandal/ 8 (39),Women,Shoes,Sandals,Naot,"Green, Brown",8,N,2,"",$20.00,$30.00,""
10/14/2019,218,"",Ferragamo boutique Italian black pumps/ 8.5 AA,Women,Shoes,Heels,Salvatore Ferragamo,Black,8.5,N,1,"",$32.00,$45.00,""
10/14/2019,218,"",Avec leopard cheetah print strapless bodycon dress,Women,Dresses,Strapless,avec,"Tan, Black",S,N,3,"",$11.00,$16.00,""
10/14/2019,218,"",Denim & flower blue w white dot LS button down/L,Men,Shirts,Casual Button Down Shirts,Denim & Flower,"Blue, White",L,N,2,"",$14.00,$25.00,""
10/14/2019,218,"",Banana republic navy white green dress/0,Women,Dresses,Midi,Banana Republic,"Blue, White",0,N,10,"",$16.00,$30.00,""
10/14/2019,218,"",ASOS charcoal metallic jumpsuit open ladder back/4,Women,Pants,Jumpsuits & Rompers,ASOS,"Gray, Silver",4,N,12,"",$10.00,$16.00,""
10/14/2019,218,"",Remonte cream/tan Mary Janes/ 7(38),Women,Shoes,Flats & Loafers,Remonte,Cream,7,N,1,"",$22.00,$22.00,""
10/15/2019,217,"",J. Jill tan black micro houndstooth pants/2,Women,Pants,Straight Leg,J. Jill,"Tan, Black",2,N,2,"",$12.00,$12.00,""
10/17/2019,215,"",Athleta NECTAR faux wrap black dress/ SP,Women,Dresses,Midi,Athleta,Black,SP,N,4,"",$17.00,$26.00,""
10/19/2019,213,"",Nike navy 1/2 zip golf wind jacket/ L,Men,Jackets & Coats,Windbreakers,Nike,Blue,L,N,3,"",$12.00,$18.00,""
10/19/2019,213,"",Madewell black and white striped long sleeve t/ L,Women,Tops,Tees - Long Sleeve,Madewell,"Black, White",L,N,10,"",$10.00,$19.00,""
10/19/2019,213,"",Nick + Mo brown & rust wool blend tank dress/L,Women,Dresses,"",Nick & Mo,"Brown, Orange",L,N,6,"",$11.00,$15.00,""
10/19/2019,213,"",Hurley blue-green striped board shorts/ M,Men,Swim,Board Shorts,Hurley,"Blue, Green",30,N,6,"",$18.00,$25.00,""
10/19/2019,213,"",White Sierra tan trail shorts/ 4,Women,Shorts,"",White Sierra,Tan,4,N,0,"",$14.00,$14.00,""
10/19/2019,213,"",Mexico national team soccer jersey/ M,Women,Tops,Tees - Short Sleeve,authentic sports,"Green, Red",M,N,8,"",$10.00,$20.00,""
10/19/2019,213,"",Puma Federation of Senegal soccer polo/ M,Men,Shirts,Polos,Puma,"Green, Red",M,N,3,"",$14.00,$16.00,""
10/19/2019,213,"",Majestic orioles gray tshirt/ M,Men,Shirts,Tees - Short Sleeve,Majestic,Gray,M,N,2,"",$14.00,$18.00,""
10/19/2019,213,"",1996 Atlanta olympics games forest green polo/ L,Men,Shirts,Polos,Champion,Green,L,N,0,"",$15.00,$15.00,""
10/19/2019,213,"",Gap relaxed fit khaki shorts/ 36,Men,Shorts,Flat Front,GAP,Tan,36,N,0,"",$13.00,$15.00,""
10/19/2019,213,"",Bass green khaki stretch ankle pants/ 10,Women,Pants,Ankle & Cropped,Bass,Green,10,N,1,"",$15.00,$15.00,""
10/21/2019,211,"",PGA Tour volt tech polo/ L,Men,Shirts,Polos,PGA Tour,"Yellow, Green",L,Y,2,"",$17.00,$21.00,""
10/23/2019,209,"",Anthro Holding Horses Red & peach plaid blouse/ S,Women,Tops,Blouses,Anthropologie,"Red, Orange",2,N,5,"",$16.00,$16.00,""
10/24/2019,208,"",Geoffrey Beene khakis/ 35X31,Men,Pants,Chinos & Khakis,Geoffrey Beene,Tan,35,N,0,"",$14.00,$14.00,""
10/24/2019,208,"",LL Bean khaki Adirondack Barn Coat/ L petite,Women,Jackets & Coats,"",L.L. Bean,Tan,LP,N,9,"",$13.00,$25.00,""
10/24/2019,208,"",PINK YOGA charcoal leggings/ XS,Women,Pants,Leggings,PINK Victoria's Secret,Gray,XS,N,16,"",$8.00,$16.00,""
10/24/2019,208,"",The North Face Crescent Sunset Red full zip/ XS,Women,Tops,Sweatshirts & Hoodies,The North Face,Red,XS,N,6,"",$21.00,$40.00,""
10/24/2019,208,"",Under Armour purple 1/2 zip/ XS,Women,Tops,Sweatshirts & Hoodies,Under Armour,Purple,XS,N,3,"",$19.00,$19.00,""
10/24/2019,208,"",Marmot black Kitzbuhel Vest/ XS,Women,Jackets & Coats,Vests,Marmot,Black,XS,N,12,"",$15.00,$29.00,""
10/24/2019,208,"",Baja hoodie jacket- blue black- m,Men,Shirts,Sweatshirts & Hoodies,"","Blue, Black",M,N,9,"",$10.00,$15.00,""
10/24/2019,208,"",Allegra K navy vest/ XS,Women,Jackets & Coats,Vests,Allegra K,Blue,XS,Y,0,"",$15.00,$15.00,""
10/25/2019,207,"",American Eagle mint lightweight full zip hoodie/ M,Women,Tops,Sweatshirts & Hoodies,American Eagle Outfitters,Green,M,N,8,"",$10.00,$10.00,""
10/25/2019,207,"",Refuge holey skinny jeans/ 0,Women,Jeans,Skinny,refuge,Blue,0J,N,6,"",$10.00,$15.00,""
10/25/2019,207,"",Hydraulic jean shorts/ 0,Women,Shorts,Jean Shorts,Hydraulic,Blue,0J,N,0,"",$18.00,$18.00,""
10/25/2019,207,"",H&M Conscious&Denim skinny dark jeans 25x30,Women,Jeans,Skinny,H&M,Blue,25,Y,3,"",$13.00,$18.00,""
10/25/2019,207,"",686 Archetype Smarty snowboard jacket/ S,Women,Jackets & Coats,"",686,"Blue, White",S,N,11,"",$18.00,$30.00,""
10/25/2019,207,"",REI thermal Charcoal 1/2 zip/ XL,Men,Shirts,Sweatshirts & Hoodies,REI,Gray,XL,N,5,"",$12.00,$18.00,""
10/25/2019,207,"",BURTON AK tan down blend vest/ S,Women,Jackets & Coats,Vests,Burton,Tan,S,N,2,"",$16.00,$35.00,""
10/25/2019,207,"",The North Face chocolate brown OSO hooded full zip,Women,Tops,Sweatshirts & Hoodies,The North Face,Brown,S,N,5,"",$19.00,$28.00,""
10/25/2019,207,"",Anthropologie Postage Stamp top/ S,Women,Tops,"",Anthropologie,"Green, Pink",S,N,7,"",$14.00,$22.00,""
10/25/2019,207,"",Free Country black melange fleece full zip/ M,Men,Jackets & Coats,"",Free Country,Black,M,Y,3,"",$11.00,$18.00,""
10/25/2019,207,"",Ann Taylor uncut burgundy cords curvy slim/4,Women,Pants,Straight Leg,"","Red, Brown",4,N,1,"",$16.00,$16.00,""
10/25/2019,207,"",Far Away From Close cream cable knit sweater/ S,Women,Sweaters,V-Necks,Anthropologie,Cream,S,N,6,"",$16.00,$16.00,""
10/25/2019,207,"",The north face navy full zip hooded sweatshirt/ S,Women,Tops,Sweatshirts & Hoodies,The North Face,Blue,S,N,11,"",$12.00,$20.00,""
10/25/2019,207,"",Anthro Tabitha black white micro stripe waistcoat,Women,Jackets & Coats,Blazers,Anthropologie,"Black, White",M,N,3,"",$17.00,$17.00,""
10/28/2019,204,"",Hard Rock hotel Bruce Springsteen black SS t/ L,Men,Shirts,Tees - Short Sleeve,Hard Rock Cafe,Black,L,N,6,"",$13.00,$18.00,""
10/28/2019,204,"",Luana black purse,Women,Bags,"",Luana,"Black, Gold",OS,N,1,"",$19.00,$30.00,""
10/28/2019,204,"",Under Armour CURRY blue athletic t/ XL,Men,Shirts,Tees - Short Sleeve,Under Armour,"Blue, Yellow",XL,N,3,"",$18.00,$23.00,""
10/28/2019,204,"",Gaelic “slainte/ cheers” green short sleeve t/ XL,Men,Shirts,Tees - Short Sleeve,Anvil,"Green, Yellow",XL,N,2,"",$13.00,$19.00,""
10/28/2019,204,"",Poof coral & white crew neck striped sweater/ S,Women,Sweaters,Crew & Scoop Necks,Poof!,"Orange, White",S,N,0,"",$14.00,$14.00,""
10/28/2019,204,"",Calvin Klein stretch white tank/ 2,Women,Tops,Tank Tops,Calvin Klein,White,2,N,3,"",$12.00,$16.00,""
10/28/2019,204,"",Bagatelle sport black lined leather jacket/ 10,Women,Jackets & Coats,"",bagatelle,Black,10,N,5,"",$14.00,$35.00,""
10/28/2019,204,"",Ralph Lauren stretch quick dry floral shorts/ 38,Men,Shorts,Flat Front,Polo by Ralph Lauren,"Green, Blue",38,N,3,"",$24.00,$36.00,""
10/28/2019,204,"",Lucky Charms gray short sleeve t shirt/ L,Men,Shirts,Tees - Short Sleeve,Delta,Gray,L,N,1,"",$14.00,$14.00,""
10/29/2019,203,"",Eileen fisher white linen tank w silver sequins/S,Women,Tops,Tank Tops,Eileen Fisher,"White, Silver",S,N,5,"",$14.00,$24.00,""
10/29/2019,203,"",Denim & flower slim fit blue button down/ XL,Men,Shirts,Casual Button Down Shirts,Denim & Flower,Blue,XL,N,3,"",$18.00,$18.00,""
10/29/2019,203,"",SBTECH gray athletic shorts/ XL,Men,Shorts,Athletic,SBTECH,"Gray, Black",XL,N,3,"",$16.00,$16.00,""
10/29/2019,203,"",Liz Claiborne blue knit hooded full zip cardigan/S,Women,Sweaters,Cardigans,Liz Claiborne,Blue,S,N,2,"",$11.00,$14.00,""
10/29/2019,203,"",Old navy black pea coat/ XS,Women,Jackets & Coats,Pea Coats,Old Navy,Black,XS,N,3,"",$14.00,$14.00,""
11/02/2019,199,"",Rare vintage berek flower embellished cardigan/ M,Women,Sweaters,Cardigans,"","Red, White",M,N,10,"",$13.00,$25.00,""
11/02/2019,199,"",RLX Ralph Lauren golf green white gingham shorts/6,Women,Shorts,Bermudas,RLX Ralph Lauren,"Green, White",6,N,2,"",$22.00,$22.00,""
